name,name_cs
"Activia jahoda","Activia jahoda"
"almond butter, creamy","mandlové máslo, krémové"
"Almond butter, creamy","Mandlové máslo, krémové"
"almond milk, refrigerated, unsweetened","mandlové mléko, chlazené, neslazené"
"Almond milk, unsweetened, plain, refrigerated","Mandlové mléko, neslazené, obyčejné, chlazené"
"Almond milk, unsweetened, plain, shelf stable","Mandlové mléko, neslazené, obyčejné, skladovatelné"
"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE","MANDLOVÉ MLÉKO, NESLAZENÉ, OBČASNÉ, STABILNÍ"
"Almonds dry roasted salted","Mandle nasucho pražené solené"
"Almonds, dry roasted, salted - NFY1213I4","Mandle, nasucho pražené, solené - NFY1213I4"
"Almonds, dry roasted, salted - NFY1213IK","Mandle, nasucho pražené, solené - NFY1213IK"
"Almonds, dry roasted, salted - NFY1213J8","Mandle, nasucho pražené, solené - NFY1213J8"
"Almonds, dry roasted, salted - NFY1213JZ","Mandle, nasucho pražené, solené - NFY1213JZ"
"Almonds, dry roasted, salted - NFY1213KL","Mandle, nasucho pražené, solené - NFY1213KL"
"Almonds, dry roasted, salted - NFY1213L0","Mandle, nasucho pražené, solené - NFY1213L0"
"Almonds, dry roasted, salted - NFY1213LG","Mandle, nasucho pražené, solené - NFY1213LG"
"Almonds, dry roasted, salted - NFY1213M2","Mandle, nasucho pražené, solené - NFY1213M2"
"amaranth, flour","amarant, mouka"
"American cheese","Americký sýr"
"American Cheese","Americký sýr"
"American pasteurized prepared cheese product, with added vitamin D, sliced, individually wrapped","Americký pasterizovaný připravený sýrový výrobek, s přidaným vitamínem D, nakrájený na plátky, jednotlivě balený"
"American pasteurized process cheese food, sliced, individually wrapped","Americké pasterizované tavené sýrové krmivo, krájené, jednotlivě balené"
"American pasteurized process cheese food, with added vitamin D, sliced, individually wrapped","Americké pasterizované tavené sýrové krmivo s přidaným vitamínem D, krájené, jednotlivě balené"
"American pasteurized process cheese product, sliced, individually wrapped","Americký pasterizovaný tavený sýr, krájený, jednotlivě balený"
"Ančovičky","Ančovičky"
"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE","JABLEČNÁ ŠŤÁVA Z KONCENTRÁTU S PŘIDANÝM VITAMINEM C, STABILNÍ"
"Apple juice, with added vitamin C, from concentrate, shelf stable","Jablečná šťáva, s přídavkem vitamínu C, z koncentrátu, skladovatelná"
"Applesauce, unsweetened, with added vitamin C","Jablečná omáčka, neslazená, s přidaným vitamínem C"
"applesauce, unsweetened, with vit C added","jablečný protlak, neslazený, s přídavkem vit"
"APPLES, FUJI","JABLKA, FUJI"
"Apples, fuji, with skin, raw","Jablka, fuji, se slupkou, syrová"
"APPLES, FUJI, WITH SKIN, RAW","JABLKA, FUJI, S KŮŽÍ, RAW"
"APPLES, GALA","JABLKA, GALA"
"Apples, gala, with skin, raw","Jablka, gala, se slupkou, syrová"
"APPLES, GALA, WITH SKIN, RAW","JABLKA, GALA, S KŮŽÍ, RAW"
"APPLES, GRANNY SMITH","JABLKA, GRANNY SMITH"
"Apples, granny smith, with skin, raw","Jablka, granny smith, se slupkou, syrová"
"APPLES, GRANNY SMITH, WITH SKIN, RAW","JABLKA, GRANNY SMITH, S KŮŽÍ, RAW"
"APPLES, HONEYCRISP","JABLKA, MEDOVÁ KŘUHÁ"
"Apples, honeycrisp, with skin, raw","Jablka, medová, se slupkou, syrová"
"APPLES, HONEYCRISP, WITH SKIN, RAW","JABLKA, MEDOVÁ, S KŮŽÍ, SYROVÁ"
"APPLES, RED DELICIOUS","JABLKA, ČERVENÁ DELICIOUS"
"Apples, red delicious, with skin, raw","Jablka, červená lahodná, se slupkou, syrová"
"APPLES, RED DELICIOUS, WITH SKIN, RAW","JABLKA, ČERVENÁ LAHODNÁ, S KŮŽÍ, RAW"
"Apricot, with skin, pitted, raw","Meruňková, se slupkou, vypeckovaná, syrová"
"Apricot, with skin, raw","Meruňková, se slupkou, syrová"
"Arugula, baby, raw","Rukola, baby, syrová"
"Asparagus, green, raw","Chřest, zelený, syrový"
"Asparagus, green, whole spear, raw","Chřest, zelený, celý oštěp, syrový"
"Avocado, Hass, peeled, pit removed, raw","Avokádo, Hass, oloupané, zbavené pecky, syrové"
"Avocado, Hass, peeled, raw","Avokádo, Hass, loupané, syrové"
"Bacon","Slanina"
"Bacon, cooked","Slanina, vařená"
"Bacon; cooked","Slanina; vařené"
"Bageta","Bageta"
"Banán","Banán"
"BANANAS, OVERRIPE","BANÁNY, PŘEZRÁLENÉ"
"BANANAS, OVERRIPE, MEDIUM SIZE","BANÁNY, PŘEZRÁLENÉ, STŘEDNÍ VELIKOSTI"
"Bananas, overripe, raw","Banány, přezrálé, syrové"
"BANANAS, RIPE","BANÁNY, ZRÁLÉ"
"Bananas, ripe and slightly ripe, raw","Banány, zralé a lehce zralé, syrové"
"BANANAS, RIPE, MEDIUM SIZE","BANÁNY, ZRÁLÉ, STŘEDNÍ VELIKOSTI"
"BANANAS, SLIGHTLY RIPE","BANÁNY, MÍRNĚ ZRÁLÉ"
"BANANAS, SLIGHTLY RIPE, MEDIUM SIZE","BANÁNY, MÍRNĚ ZRÁLÉ, STŘEDNÍ VELIKOSTI"
"barley, flour","ječmen, mouka"
"Bartlett Pears, Pass 2, Freeze Dried, Regions 1 & 4, n/a, Yes - Fiber, NFY0108TR","Bartlett Pears, Pass 2, Lyofilizované, Regions 1 & 4, n/a, Ano – Fiber, NFY0108TR"
"Bartlett Pears, Pass 2, Freeze Dried, Regions 2 & 3, n/a, Yes - Fiber, NFY0108TX","Bartlett Pears, Pass 2, Lyofilizované, Regions 2 & 3, n/a, Ano – Fiber, NFY0108TX"
"Basmati rýže","Basmati rýže"
"beans, black, canned, sodium added","fazole, černé, konzervované, s přídavkem sodíku"
"Beans, black, canned, sodium added, drained and rinsed","Fazole, černé, konzervované, přidaný sodík, scezené a propláchnuté"
"beans, blackeye pea, canned, sodium added","fazole, černooký hrášek, konzerva, přidaný sodík"
"beans, cannellini, canned, sodium added","fazole, cannellini, konzerva, přidaný sodík"
"Beans, cannellini, canned, sodium added, drained and rinsed","Fazole, cannellini, konzerva, přidán sodík, okapaná a propláchnutá"
"beans, cannellini, dry","fazole, cannellini, suché"
"Beans, cannellini, dry","Fazole, cannellini, suché"
"beans, chick peas/garbanzos, canned, sodium added","fazole, cizrna/garbanzos, konzerva, přidaný sodík"
"beans, chickpeas/garbanzos, dry","fazole, cizrna/garbanzos, suché"
"Beans, Dry, Black (0% moisture)","Fazole, suché, černé (0% vlhkost)"
"Beans, Dry, Black, 11F-8000 (0% moisture)","Fazole, suché, černé, 11F-8000 (0% vlhkost)"
"Beans, Dry, Black, 11F-8002 (0% moisture)","Fazole, suché, černé, 11F-8002 (0% vlhkost)"
"Beans, Dry, Black, 11F-8003 (0% moisture)","Fazole, suché, černé, 11F-8003 (0% vlhkost)"
"Beans, Dry, Black, 11F-8013 (0% moisture)","Fazole, suché, černé, 11F-8013 (0% vlhkost)"
"Beans, Dry, Black, 11F-8015 (0% moisture)","Fazole, suché, černé, 11F-8015 (0% vlhkost)"
"Beans, Dry, Black, 11F-8016 (0% moisture)","Fazole, suché, černé, 11F-8016 (0% vlhkost)"
"Beans, Dry, Black, 11F-8020 (0% moisture)","Fazole, suché, černé, 11F-8020 (0% vlhkost)"
"Beans, Dry, Black, 11F-8023 (0% moisture)","Fazole, suché, černé, 11F-8023 (0% vlhkost)"
"Beans, Dry, Black, 11F-8029 (0% moisture)","Fazole, suché, černé, 11F-8029 (0% vlhkost)"
"Beans, Dry, Black, 11F-8036 (0% moisture)","Fazole, suché, černé, 11F-8036 (0% vlhkost)"
"Beans, Dry, Black, 11F-8039 (0% moisture)","Fazole, suché, černé, 11F-8039 (0% vlhkost)"
"Beans, Dry, Black, 11F-8044 (0% moisture)","Fazole, suché, černé, 11F-8044 (0% vlhkost)"
"Beans, Dry, Black, 11F-8045 (0% moisture)","Fazole, suché, černé, 11F-8045 (0% vlhkost)"
"Beans, Dry, Black, 11F-8046 (0% moisture)","Fazole, suché, černé, 11F-8046 (0% vlhkost)"
"Beans, Dry, Black, 11F-8062 (0% moisture)","Fazole, suché, černé, 11F-8062 (0% vlhkost)"
"Beans, Dry, Black, 11F-8112 (0% moisture)","Fazole, suché, černé, 11F-8112 (0% vlhkost)"
"Beans, Dry, Black, 11F-8116 (0% moisture)","Fazole, suché, černé, 11F-8116 (0% vlhkost)"
"Beans, Dry, Black, 11F-8117 (0% moisture)","Fazole, suché, černé, 11F-8117 (0% vlhkost)"
"Beans, Dry, Black, 11F-8119 (0% moisture)","Fazole, suché, černé, 11F-8119 (0% vlhkost)"
"Beans, Dry, Black, 11F-8122 (0% moisture)","Fazole, suché, černé, 11F-8122 (0% vlhkost)"
"Beans, Dry, Black, 11F-8123 (0% moisture)","Fazole, suché, černé, 11F-8123 (0% vlhkost)"
"Beans, Dry, Black, 11F-8129 (0% moisture)","Fazole, suché, černé, 11F-8129 (0% vlhkost)"
"Beans, Dry, Black, 11F-8135 (0% moisture)","Fazole, suché, černé, 11F-8135 (0% vlhkost)"
"Beans, Dry, Black, 11F-8140 (0% moisture)","Fazole, suché, černé, 11F-8140 (0% vlhkost)"
"Beans, Dry, Black, 11F-8146 (0% moisture)","Fazole, suché, černé, 11F-8146 (0% vlhkost)"
"Beans, Dry, Black, 11F-8150 (0% moisture)","Fazole, suché, černé, 11F-8150 (0% vlhkost)"
"Beans, Dry, Black, 11F-8158 (0% moisture)","Fazole, suché, černé, 11F-8158 (0% vlhkost)"
"Beans, Dry, Black, 11F-8168 (0% moisture)","Fazole, suché, černé, 11F-8168 (0% vlhkost)"
"Beans, Dry, Black, 11F-8177 (0% moisture)","Fazole, suché, černé, 11F-8177 (0% vlhkost)"
"Beans, Dry, Black, 11F-8180 (0% moisture)","Fazole, suché, černé, 11F-8180 (0% vlhkost)"
"Beans, Dry, Black, 214 (0% moisture)","Fazole, suché, černé, 214 (0% vlhkost)"
"Beans, Dry, Black, 215 (0% moisture)","Fazole, suché, černé, 215 (0% vlhkost)"
"Beans, Dry, Black, 219 (0% moisture)","Fazole, suché, černé, 219 (0% vlhkost)"
"Beans, Dry, Black, 221 (0% moisture)","Fazole, suché, černé, 221 (0% vlhkost)"
"Beans, Dry, Black, 222 (0% moisture)","Fazole, suché, černé, 222 (0% vlhkost)"
"Beans, Dry, Black, 223 (0% moisture)","Fazole, suché, černé, 223 (0% vlhkost)"
"Beans, Dry, Black, 225 (0% moisture)","Fazole, suché, černé, 225 (0% vlhkost)"
"Beans, Dry, Black, 227 (0% moisture)","Fazole, suché, černé, 227 (0% vlhkost)"
"Beans, Dry, Black, 232 (0% moisture)","Fazole, suché, černé, 232 (0% vlhkost)"
"Beans, Dry, Black, 238 (0% moisture)","Fazole, suché, černé, 238 (0% vlhkost)"
"Beans, Dry, Black, 244 (0% moisture)","Fazole, suché, černé, 244 (0% vlhkost)"
"Beans, Dry, Black, 247 (0% moisture)","Fazole, suché, černé, 247 (0% vlhkost)"
"Beans, Dry, Black, 248 (0% moisture)","Fazole, suché, černé, 248 (0% vlhkost)"
"Beans, Dry, Black, 249 (0% moisture)","Fazole, suché, černé, 249 (0% vlhkost)"
"Beans, Dry, Black, 250 (0% moisture)","Fazole, suché, černé, 250 (0% vlhkost)"
"Beans, Dry, Black, 251 (0% moisture)","Fazole, suché, černé, 251 (0% vlhkost)"
"Beans, Dry, Black, 254 (0% moisture)","Fazole, suché, černé, 254 (0% vlhkost)"
"Beans, Dry, Black, 258 (0% moisture)","Fazole, suché, černé, 258 (0% vlhkost)"
"Beans, Dry, Black, 259 (0% moisture)","Fazole, suché, černé, 259 (0% vlhkost)"
"Beans, Dry, Black, 263 (0% moisture)","Fazole, suché, černé, 263 (0% vlhkost)"
"Beans, Dry, Black, 266 (0% moisture)","Fazole, suché, černé, 266 (0% vlhkost)"
"Beans, Dry, Black, 267 (0% moisture)","Fazole, suché, černé, 267 (0% vlhkost)"
"Beans, Dry, Black, 269 (0% moisture)","Fazole, suché, černé, 269 (0% vlhkost)"
"Beans, Dry, Black, 271 (0% moisture)","Fazole, suché, černé, 271 (0% vlhkost)"
"Beans, Dry, Black, 273 (0% moisture)","Fazole, suché, černé, 273 (0% vlhkost)"
"Beans, Dry, Black, 274 (0% moisture)","Fazole, suché, černé, 274 (0% vlhkost)"
"Beans, Dry, Black, 276 (0% moisture)","Fazole, suché, černé, 276 (0% vlhkost)"
"Beans, Dry, Black, 278 (0% moisture)","Fazole, suché, černé, 278 (0% vlhkost)"
"Beans, Dry, Black, 282 (0% moisture)","Fazole, suché, černé, 282 (0% vlhkost)"
"Beans, Dry, Black, 286 (0% moisture)","Fazole, suché, černé, 286 (0% vlhkost)"
"Beans, Dry, Black, 288 (0% moisture)","Fazole, suché, černé, 288 (0% vlhkost)"
"Beans, Dry, Black, 291 (0% moisture)","Fazole, suché, černé, 291 (0% vlhkost)"
