id,name,name_cs
177,Activia jahoda,Activia jahoda
6214,"almond butter, creamy","mandlové máslo, krémové"
6212,"Almond butter, creamy","Mandlové máslo, krémové"
5768,"almond milk, refrigerated, unsweetened","mandlové mléko, chlazené, neslazené"
5759,"Almond milk, unsweetened, plain, refrigerated","Mandlové mléko, neslazené, obyčejné, chlazené"
4832,"Almond milk, unsweetened, plain, shelf stable","Mandlové mléko, neslazené, obyčejné, skladovatelné"
4853,"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE","MANDLOVÉ MLÉKO, NESLAZENÉ, OBČASNÉ, STABILNÍ"
568,Almonds dry roasted salted,Mandle nasucho pražené solené
592,"Almonds, dry roasted, salted - NFY1213I4","Mandle, nasucho pražené, solené - NFY1213I4"
589,"Almonds, dry roasted, salted - NFY1213IK","Mandle, nasucho pražené, solené - NFY1213IK"
584,"Almonds, dry roasted, salted - NFY1213J8","Mandle, nasucho pražené, solené - NFY1213J8"
579,"Almonds, dry roasted, salted - NFY1213JZ","Mandle, nasucho pražené, solené - NFY1213JZ"
576,"Almonds, dry roasted, salted - NFY1213KL","Mandle, nasucho pražené, solené - NFY1213KL"
598,"Almonds, dry roasted, salted - NFY1213L0","Mandle, nasucho pražené, solené - NFY1213L0"
595,"Almonds, dry roasted, salted - NFY1213LG","Mandle, nasucho pražené, solené - NFY1213LG"
601,"Almonds, dry roasted, salted - NFY1213M2","Mandle, nasucho pražené, solené - NFY1213M2"
7149,"amaranth, flour","amarant, mouka"
3644,American cheese,Americký sýr
3614,American Cheese,Americký sýr
8280,"American pasteurized prepared cheese product, with added vitamin D, sliced, individually wrapped","Americký pasterizovaný připravený sýrový výrobek, s přidaným vitamínem D, nakrájený na plátky, jednotlivě balený"
8278,"American pasteurized process cheese food, sliced, individually wrapped","Americké pasterizované tavené sýrové krmivo, krájené, jednotlivě balené"
8283,"American pasteurized process cheese food, with added vitamin D, sliced, individually wrapped","Americké pasterizované tavené sýrové krmivo s přidaným vitamínem D, krájené, jednotlivě balené"
8281,"American pasteurized process cheese product, sliced, individually wrapped","Americký pasterizovaný tavený sýr, krájený, jednotlivě balený"
92,Ančovičky,Ančovičky
5533,"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE","JABLEČNÁ ŠŤÁVA Z KONCENTRÁTU S PŘIDANÝM VITAMINEM C, STABILNÍ"
5428,"Apple juice, with added vitamin C, from concentrate, shelf stable","Jablečná šťáva, s přídavkem vitamínu C, z koncentrátu, skladovatelná"
6347,"Applesauce, unsweetened, with added vitamin C","Jablečná omáčka, neslazená, s přidaným vitamínem C"
6428,"applesauce, unsweetened, with vit C added","jablečný protlak, neslazený, s přídavkem vit"
4806,"APPLES, FUJI","JABLKA, FUJI"
4830,"Apples, fuji, with skin, raw","Jablka, fuji, se slupkou, syrová"
4948,"APPLES, FUJI, WITH SKIN, RAW","JABLKA, FUJI, S KŮŽÍ, RAW"
4781,"APPLES, GALA","JABLKA, GALA"
4805,"Apples, gala, with skin, raw","Jablka, gala, se slupkou, syrová"
4972,"APPLES, GALA, WITH SKIN, RAW","JABLKA, GALA, S KŮŽÍ, RAW"
4756,"APPLES, GRANNY SMITH","JABLKA, GRANNY SMITH"
4780,"Apples, granny smith, with skin, raw","Jablka, granny smith, se slupkou, syrová"
4996,"APPLES, GRANNY SMITH, WITH SKIN, RAW","JABLKA, GRANNY SMITH, S KŮŽÍ, RAW"
4731,"APPLES, HONEYCRISP","JABLKA, MEDOVÁ KŘUHÁ"
4755,"Apples, honeycrisp, with skin, raw","Jablka, medová, se slupkou, syrová"
5020,"APPLES, HONEYCRISP, WITH SKIN, RAW","JABLKA, MEDOVÁ, S KŮŽÍ, SYROVÁ"
4706,"APPLES, RED DELICIOUS","JABLKA, ČERVENÁ DELICIOUS"
4730,"Apples, red delicious, with skin, raw","Jablka, červená lahodná, se slupkou, syrová"
4924,"APPLES, RED DELICIOUS, WITH SKIN, RAW","JABLKA, ČERVENÁ LAHODNÁ, S KŮŽÍ, RAW"
9261,"Apricot, with skin, pitted, raw","Meruňková, se slupkou, vypeckovaná, syrová"
8913,"Apricot, with skin, raw","Meruňková, se slupkou, syrová"
8920,"Arugula, baby, raw","Rukola, baby, syrová"
8921,"Asparagus, green, raw","Chřest, zelený, syrový"
9330,"Asparagus, green, whole spear, raw","Chřest, zelený, celý oštěp, syrový"
9245,"Avocado, Hass, peeled, pit removed, raw","Avokádo, Hass, oloupané, zbavené pecky, syrové"
8922,"Avocado, Hass, peeled, raw","Avokádo, Hass, loupané, syrové"
4130,Bacon,Slanina
4127,"Bacon, cooked","Slanina, vařená"
4231,Bacon; cooked,Slanina; vařené
36,Bageta,Bageta
11,Banán,Banán
4538,"BANANAS, OVERRIPE","BANÁNY, PŘEZRÁLENÉ"
4548,"BANANAS, OVERRIPE, MEDIUM SIZE","BANÁNY, PŘEZRÁLENÉ, STŘEDNÍ VELIKOSTI"
4551,"Bananas, overripe, raw","Banány, přezrálé, syrové"
4552,"BANANAS, RIPE","BANÁNY, ZRÁLÉ"
4578,"Bananas, ripe and slightly ripe, raw","Banány, zralé a lehce zralé, syrové"
4550,"BANANAS, RIPE, MEDIUM SIZE","BANÁNY, ZRÁLÉ, STŘEDNÍ VELIKOSTI"
4561,"BANANAS, SLIGHTLY RIPE","BANÁNY, MÍRNĚ ZRÁLÉ"
4549,"BANANAS, SLIGHTLY RIPE, MEDIUM SIZE","BANÁNY, MÍRNĚ ZRÁLÉ, STŘEDNÍ VELIKOSTI"
7221,"barley, flour","ječmen, mouka"
2164,"Bartlett Pears, Pass 2, Freeze Dried, Regions 1 & 4, n/a, Yes - Fiber, NFY0108TR","Bartlett Pears, Pass 2, Lyofilizované, Regions 1 & 4, n/a, Ano – Fiber, NFY0108TR"
2167,"Bartlett Pears, Pass 2, Freeze Dried, Regions 2 & 3, n/a, Yes - Fiber, NFY0108TX","Bartlett Pears, Pass 2, Lyofilizované, Regions 2 & 3, n/a, Ano – Fiber, NFY0108TX"
50,Basmati rýže,Basmati rýže
7868,"beans, black, canned, sodium added","fazole, černé, konzervované, s přídavkem sodíku"
7826,"Beans, black, canned, sodium added, drained and rinsed","Fazole, černé, konzervované, přidaný sodík, scezené a propláchnuté"
7932,"beans, blackeye pea, canned, sodium added","fazole, černooký hrášek, konzerva, přidaný sodík"
7884,"beans, cannellini, canned, sodium added","fazole, cannellini, konzerva, přidaný sodík"
7828,"Beans, cannellini, canned, sodium added, drained and rinsed","Fazole, cannellini, konzerva, přidán sodík, okapaná a propláchnutá"
7836,"beans, cannellini, dry","fazole, cannellini, suché"
7822,"Beans, cannellini, dry","Fazole, cannellini, suché"
7892,"beans, chick peas/garbanzos, canned, sodium added","fazole, cizrna/garbanzos, konzerva, přidaný sodík"
7844,"beans, chickpeas/garbanzos, dry","fazole, cizrna/garbanzos, suché"
3360,"Beans, Dry, Black (0% moisture)","Fazole, suché, černé (0% vlhkost)"
3252,"Beans, Dry, Black, 11F-8000 (0% moisture)","Fazole, suché, černé, 11F-8000 (0% vlhkost)"
3258,"Beans, Dry, Black, 11F-8002 (0% moisture)","Fazole, suché, černé, 11F-8002 (0% vlhkost)"
3238,"Beans, Dry, Black, 11F-8003 (0% moisture)","Fazole, suché, černé, 11F-8003 (0% vlhkost)"
3242,"Beans, Dry, Black, 11F-8013 (0% moisture)","Fazole, suché, černé, 11F-8013 (0% vlhkost)"
3262,"Beans, Dry, Black, 11F-8015 (0% moisture)","Fazole, suché, černé, 11F-8015 (0% vlhkost)"
3240,"Beans, Dry, Black, 11F-8016 (0% moisture)","Fazole, suché, černé, 11F-8016 (0% vlhkost)"
3260,"Beans, Dry, Black, 11F-8020 (0% moisture)","Fazole, suché, černé, 11F-8020 (0% vlhkost)"
3246,"Beans, Dry, Black, 11F-8023 (0% moisture)","Fazole, suché, černé, 11F-8023 (0% vlhkost)"
3256,"Beans, Dry, Black, 11F-8029 (0% moisture)","Fazole, suché, černé, 11F-8029 (0% vlhkost)"
3236,"Beans, Dry, Black, 11F-8036 (0% moisture)","Fazole, suché, černé, 11F-8036 (0% vlhkost)"
3244,"Beans, Dry, Black, 11F-8039 (0% moisture)","Fazole, suché, černé, 11F-8039 (0% vlhkost)"
3254,"Beans, Dry, Black, 11F-8044 (0% moisture)","Fazole, suché, černé, 11F-8044 (0% vlhkost)"
3234,"Beans, Dry, Black, 11F-8045 (0% moisture)","Fazole, suché, černé, 11F-8045 (0% vlhkost)"
3250,"Beans, Dry, Black, 11F-8046 (0% moisture)","Fazole, suché, černé, 11F-8046 (0% vlhkost)"
3248,"Beans, Dry, Black, 11F-8062 (0% moisture)","Fazole, suché, černé, 11F-8062 (0% vlhkost)"
3241,"Beans, Dry, Black, 11F-8112 (0% moisture)","Fazole, suché, černé, 11F-8112 (0% vlhkost)"
3245,"Beans, Dry, Black, 11F-8116 (0% moisture)","Fazole, suché, černé, 11F-8116 (0% vlhkost)"
3239,"Beans, Dry, Black, 11F-8117 (0% moisture)","Fazole, suché, černé, 11F-8117 (0% vlhkost)"
3257,"Beans, Dry, Black, 11F-8119 (0% moisture)","Fazole, suché, černé, 11F-8119 (0% vlhkost)"
3237,"Beans, Dry, Black, 11F-8122 (0% moisture)","Fazole, suché, černé, 11F-8122 (0% vlhkost)"
3263,"Beans, Dry, Black, 11F-8123 (0% moisture)","Fazole, suché, černé, 11F-8123 (0% vlhkost)"
3253,"Beans, Dry, Black, 11F-8129 (0% moisture)","Fazole, suché, černé, 11F-8129 (0% vlhkost)"
3259,"Beans, Dry, Black, 11F-8135 (0% moisture)","Fazole, suché, černé, 11F-8135 (0% vlhkost)"
3261,"Beans, Dry, Black, 11F-8140 (0% moisture)","Fazole, suché, černé, 11F-8140 (0% vlhkost)"
3251,"Beans, Dry, Black, 11F-8146 (0% moisture)","Fazole, suché, černé, 11F-8146 (0% vlhkost)"
3249,"Beans, Dry, Black, 11F-8150 (0% moisture)","Fazole, suché, černé, 11F-8150 (0% vlhkost)"
3255,"Beans, Dry, Black, 11F-8158 (0% moisture)","Fazole, suché, černé, 11F-8158 (0% vlhkost)"
3247,"Beans, Dry, Black, 11F-8168 (0% moisture)","Fazole, suché, černé, 11F-8168 (0% vlhkost)"
3235,"Beans, Dry, Black, 11F-8177 (0% moisture)","Fazole, suché, černé, 11F-8177 (0% vlhkost)"
3243,"Beans, Dry, Black, 11F-8180 (0% moisture)","Fazole, suché, černé, 11F-8180 (0% vlhkost)"
3340,"Beans, Dry, Black, 214 (0% moisture)","Fazole, suché, černé, 214 (0% vlhkost)"
3316,"Beans, Dry, Black, 215 (0% moisture)","Fazole, suché, černé, 215 (0% vlhkost)"
3292,"Beans, Dry, Black, 219 (0% moisture)","Fazole, suché, černé, 219 (0% vlhkost)"
3282,"Beans, Dry, Black, 221 (0% moisture)","Fazole, suché, černé, 221 (0% vlhkost)"
3306,"Beans, Dry, Black, 222 (0% moisture)","Fazole, suché, černé, 222 (0% vlhkost)"
3312,"Beans, Dry, Black, 223 (0% moisture)","Fazole, suché, černé, 223 (0% vlhkost)"
3308,"Beans, Dry, Black, 225 (0% moisture)","Fazole, suché, černé, 225 (0% vlhkost)"
3338,"Beans, Dry, Black, 227 (0% moisture)","Fazole, suché, černé, 227 (0% vlhkost)"
3290,"Beans, Dry, Black, 232 (0% moisture)","Fazole, suché, černé, 232 (0% vlhkost)"
3346,"Beans, Dry, Black, 238 (0% moisture)","Fazole, suché, černé, 238 (0% vlhkost)"
3270,"Beans, Dry, Black, 244 (0% moisture)","Fazole, suché, černé, 244 (0% vlhkost)"
3304,"Beans, Dry, Black, 247 (0% moisture)","Fazole, suché, černé, 247 (0% vlhkost)"
3310,"Beans, Dry, Black, 248 (0% moisture)","Fazole, suché, černé, 248 (0% vlhkost)"
3300,"Beans, Dry, Black, 249 (0% moisture)","Fazole, suché, černé, 249 (0% vlhkost)"
3272,"Beans, Dry, Black, 250 (0% moisture)","Fazole, suché, černé, 250 (0% vlhkost)"
3344,"Beans, Dry, Black, 251 (0% moisture)","Fazole, suché, černé, 251 (0% vlhkost)"
3294,"Beans, Dry, Black, 254 (0% moisture)","Fazole, suché, černé, 254 (0% vlhkost)"
3335,"Beans, Dry, Black, 258 (0% moisture)","Fazole, suché, černé, 258 (0% vlhkost)"
3332,"Beans, Dry, Black, 259 (0% moisture)","Fazole, suché, černé, 259 (0% vlhkost)"
3342,"Beans, Dry, Black, 263 (0% moisture)","Fazole, suché, černé, 263 (0% vlhkost)"
3326,"Beans, Dry, Black, 266 (0% moisture)","Fazole, suché, černé, 266 (0% vlhkost)"
3297,"Beans, Dry, Black, 267 (0% moisture)","Fazole, suché, černé, 267 (0% vlhkost)"
3274,"Beans, Dry, Black, 269 (0% moisture)","Fazole, suché, černé, 269 (0% vlhkost)"
3322,"Beans, Dry, Black, 271 (0% moisture)","Fazole, suché, černé, 271 (0% vlhkost)"
3348,"Beans, Dry, Black, 273 (0% moisture)","Fazole, suché, černé, 273 (0% vlhkost)"
3288,"Beans, Dry, Black, 274 (0% moisture)","Fazole, suché, černé, 274 (0% vlhkost)"
3278,"Beans, Dry, Black, 276 (0% moisture)","Fazole, suché, černé, 276 (0% vlhkost)"
